,root_mean_squared1,root_mean_squared2,root_mean_squared3,root_mean_squared4,iemg1,iemg2,iemg3,iemg4,mean_absolute_value1,mean_absolute_value2,mean_absolute_value3,mean_absolute_value4,variance1,variance2,variance3,variance4,wave_form_length1,wave_form_length2,wave_form_length3,wave_form_length4,mean1,mean2,mean3,mean4,median1,median2,median3,median4,skewness1,skewness2,skewness3,skewness4,kurt1,kurt2,kurt3,kurt4,label
137,3379.8452,3408.8276,3411.9673,3416.7417,196031.0,197712.0,197894.0,198171.0,3379.8447,3408.8276,3411.9656,3416.7415,1.6828182,0.5909631,13.067777,3.329667,51.0,34.0,48.0,51.0,3379.8447,3408.8276,3411.9656,3416.7415,3380.0,3409.0,3412.0,3417.0,-0.46848974,0.75983,-0.16925044,0.11292566,-0.22369266,0.3394153,-1.1130992,-0.8469982,1
138,3425.138,3416.8103,3411.7415,3414.2073,198658.0,198175.0,197881.0,198024.0,3425.138,3416.8103,3411.7415,3414.2068,1.2223542,1.7398932,1.1572534,3.7847795,40.0,64.0,46.0,47.0,3425.138,3416.8103,3411.7415,3414.2068,3425.0,3417.0,3412.0,3415.0,1.3333133,-0.053903632,0.19478285,-0.22173391,1.9182773,-0.4501984,-0.39473915,-0.78545356,2
139,3403.2273,3424.3289,3416.9163,3423.0867,197387.0,198611.0,198181.0,198539.0,3403.224,3424.3276,3416.9138,3423.0862,22.00149,9.909929,17.285673,3.7684305,52.0,39.0,37.0,35.0,3403.224,3424.3276,3416.9138,3423.0862,3403.0,3424.0,3417.0,3423.0,0.020107228,0.01547924,0.036524866,-0.22047605,-1.3225994,-0.68162656,-1.4176184,-0.9147942,0
140,3408.656,3397.276,3419.6218,3412.2588,197702.0,197042.0,198338.0,197911.0,3408.6553,3397.276,3419.6206,3412.2585,6.3293695,0.71700364,7.235434,1.2607017,52.0,47.0,33.0,48.0,3408.6553,3397.276,3419.6206,3412.2585,3409.0,3397.0,3420.0,3412.0,-0.24467179,0.2943221,-0.12507758,0.13741404,-0.7207837,-0.47676134,-1.1918972,0.38180685,1
141,3410.1763,3409.052,3412.9312,3396.1035,197790.0,197725.0,197950.0,196974.0,3410.1724,3409.0518,3412.9312,3396.1035,25.901306,2.462842,0.9952437,2.0582638,53.0,49.0,48.0,58.0,3410.1724,3409.0518,3412.9312,3396.1035,3412.0,3408.5,3413.0,3396.0,-0.44484636,0.42294154,-0.17466646,0.06342592,-1.1670675,-0.9162431,-0.60508275,-1.0472417,2
142,3401.8281,3412.0696,3407.3103,3407.9312,197306.0,197900.0,197624.0,197660.0,3401.8276,3412.0688,3407.3103,3407.9312,3.004756,2.9262786,0.5933412,0.4090369,53.0,56.0,22.0,28.0,3401.8276,3412.0688,3407.3103,3407.9312,3402.0,3412.0,3407.0,3408.0,0.6038307,-0.33435124,0.5368196,-0.33486563,-0.35198712,-0.65653634,0.0323267,0.49593616,0
143,3389.0017,3409.8794,3409.845,3414.431,196562.0,197773.0,197771.0,198037.0,3389.0,3409.8794,3409.8447,3414.4312,11.793103,1.5888823,0.75178355,1.2797263,48.0,47.0,50.0,47.0,3389.0,3409.8794,3409.8447,3414.4312,3390.0,3410.0,3410.0,3414.0,-0.19157657,0.1243536,0.30492255,-0.043475915,-1.0928489,-0.40538192,-0.87010336,-0.657485,1
144,3415.1382,3413.2595,3415.0173,3410.5002,198078.0,197969.0,198071.0,197809.0,3415.138,3413.2585,3415.0173,3410.5,0.5671819,6.226218,0.60315096,1.1810344,35.0,51.0,45.0,50.0,3415.138,3413.2585,3415.0173,3410.5,3415.0,3413.0,3415.0,3410.0,0.009469393,0.0975482,0.19068101,0.20149738,0.5423305,-1.3041389,0.3449347,-0.39650488,2
145,3393.001,3414.6208,3414.2932,3407.1726,196794.0,198048.0,198029.0,197616.0,3393.0,3414.6206,3414.2932,3407.1724,5.37931,0.7181926,0.89684904,1.3151011,43.0,51.0,46.0,35.0,3393.0,3414.6206,3414.2932,3407.1724,3393.0,3415.0,3414.0,3407.0,0.4228668,-0.21029001,0.6045938,0.55173683,-0.19008851,-0.5411997,-0.024583578,0.539793,0
146,3382.9204,3376.4736,3407.3276,3409.2417,196209.0,195835.0,197625.0,197736.0,3382.9138,3376.4656,3407.3276,3409.2415,46.4236,54.007435,0.840963,1.1141499,46.0,57.0,29.0,43.0,3382.9138,3376.4656,3407.3276,3409.2415,3382.0,3373.0,3407.0,3409.0,0.20185497,0.908421,0.7829021,0.5626115,-1.1649607,-0.42628074,0.24298573,0.11310816,1
147,3430.555,3394.707,3406.7593,3414.7073,198972.0,196893.0,197592.0,198053.0,3430.5518,3394.7068,3406.7585,3414.7068,21.868013,2.7589178,4.5969086,2.7589178,43.0,40.0,41.0,46.0,3430.5518,3394.7068,3406.7585,3414.7068,3431.0,3394.0,3406.5,3415.0,-0.078095324,0.7420104,0.12585852,-0.8156193,-1.188138,0.047368765,-0.95858145,0.0075917244,2
148,3405.3643,3410.4138,3408.4314,3414.2588,197511.0,197804.0,197689.0,198027.0,3405.362,3410.4138,3408.4312,3414.2585,16.748217,0.9322235,1.1073128,1.2262189,59.0,48.0,35.0,56.0,3405.362,3410.4138,3408.4312,3414.2585,3406.0,3410.0,3408.0,3414.0,-0.7558651,0.24454616,0.31493512,-0.21797827,-0.49035907,0.047617435,-0.79714704,0.21030974,0
149,3386.673,3419.6553,3417.8625,3411.7073,196427.0,198340.0,198236.0,197879.0,3386.6724,3419.6553,3417.862,3411.7068,3.392687,1.1914388,5.4982176,2.7934005,56.0,48.0,51.0,44.0,3386.6724,3419.6553,3417.862,3411.7068,3386.0,3420.0,3417.0,3411.0,0.6027153,-0.0020747343,0.08574633,0.4024458,-0.78626776,0.08131075,-1.2576624,-0.86377525,1
150,3418.2256,3406.052,3403.3447,3411.466,198257.0,197551.0,197394.0,197865.0,3418.224,3406.0518,3403.3447,3411.4656,8.829073,1.0835315,0.5707491,2.0419142,55.0,49.0,38.0,61.0,3418.224,3406.0518,3403.3447,3411.4656,3418.0,3406.0,3403.0,3411.0,0.19192882,0.17172675,-0.18445514,0.42387158,-1.2105131,0.16713047,-0.5686405,-0.4830656,2
151,3395.3794,3406.4487,3410.4485,3407.724,196932.0,197574.0,197806.0,197648.0,3395.3794,3406.4482,3410.4482,3407.724,2.4768128,2.247325,1.9714626,0.4066587,46.0,43.0,63.0,30.0,3395.3794,3406.4482,3410.4482,3407.724,3396.0,3407.0,3411.0,3408.0,-0.42759195,-0.8521086,-0.0061491695,0.7139484,-0.2866211,0.41742945,-0.49992943,1.2478442,0
152,3406.156,3410.7588,3404.157,3413.4312,197557.0,197824.0,197441.0,197979.0,3406.1553,3410.7585,3404.1553,3413.4312,4.8897142,1.3210465,10.544886,1.210761,33.0,51.0,40.0,43.0,3406.1553,3410.7585,3404.1553,3413.4312,3406.0,3411.0,3404.0,3414.0,0.080805555,-0.13266213,-0.10579477,-0.6014775,-0.6920929,-0.5724311,-1.2033687,0.20880246,1
153,3416.2422,3408.707,3412.7068,3428.2285,198142.0,197705.0,197937.0,198837.0,3416.2415,3408.7068,3412.7068,3428.224,4.976218,0.96581453,1.2761594,29.48425,46.0,38.0,51.0,83.0,3416.2415,3408.7068,3412.7068,3428.224,3416.0,3409.0,3413.0,3430.0,0.37605295,0.17684183,0.23403488,-0.4391125,-0.7322719,-0.42905426,-0.1697197,-1.174936,2
154,3404.7769,3413.1902,3412.4834,3415.0696,197477.0,197965.0,197924.0,198074.0,3404.776,3413.1897,3412.4827,3415.0688,6.6221757,3.0502377,3.973841,3.8917956,62.0,57.0,53.0,41.0,3404.776,3413.1897,3412.4827,3415.0688,3404.0,3414.0,3413.0,3415.0,0.63729656,-0.4662971,-0.039751694,-1.1871554,0.84817934,-1.0022377,-1.2553339,1.363441,0
